ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
1051,1,1,213,1292,1079
1052,1,0,9,0,-9
1053,1,0,11,0,-11
1054,0,0,154,0,-154
1055,0,0,12,0,-12
1056,0,0,53,0,-53
1057,0,0,72,0,-72
1058,1,1,466,2588,2122
1059,0,0,2,0,-2
1060,1,0,85,0,-85
1061,0,0,30,0,-30
1062,1,0,251,0,-251
1063,1,1,838,1498,660
1064,1,0,36,0,-36
1065,0,0,9,0,-9
1066,0,0,39,0,-39
1067,1,1,393,2797,2404
1068,0,0,22,0,-22
1069,1,0,127,0,-127
1070,1,1,580,1264,684
1071,1,1,128,1412,1284
1072,0,0,60,0,-60
1073,0,0,41,0,-41
1074,1,1,877,2335,1458
1075,0,0,9,0,-9
1076,0,0,11,0,-11
1077,0,0,134,0,-134
1078,1,0,25,0,-25
1079,0,0,25,0,-25
1080,0,0,18,0,-18
1081,0,0,80,0,-80
1082,1,1,421,1299,878
1083,1,0,32,0,-32
1084,0,0,11,0,-11
1085,1,1,2164,1459,-705
1086,0,0,44,0,-44
1087,1,1,192,1787,1595
1088,1,0,165,0,-165
1089,1,1,729,1557,828
1090,1,0,61,0,-61
1091,1,1,844,1261,417
1092,0,0,11,0,-11
1093,0,0,66,0,-66
1094,1,1,2181,1838,-343
1095,1,0,1,0,-1
1096,0,0,19,0,-19
1097,1,0,3,0,-3
1098,0,0,51,0,-51
1099,0,0,46,0,-46
1100,1,0,20,0,-20
1101,0,0,22,0,-22
1102,1,0,227,0,-227
1103,0,0,20,0,-20
1104,1,1,359,1667,1308
1105,1,0,8,0,-8
1106,0,0,8,0,-8
1107,1,0,6,0,-6
1108,1,1,2432,1514,-918
1109,0,0,83,0,-83
1110,1,0,16,0,-16
1111,1,0,28,0,-28
1112,0,0,58,0,-58
1113,1,1,201,1209,1008
1114,0,0,77,0,-77
1115,1,1,1212,1266,54
1116,1,0,98,0,-98
1117,0,0,1,0,-1
1118,1,1,370,1419,1049
1119,0,0,75,0,-75
1120,1,1,1149,1274,125
1121,1,0,95,0,-95
1122,0,0,30,0,-30
1123,0,0,37,0,-37
1124,1,0,179,0,-179
1125,1,0,16,0,-16
1126,1,1,436,2603,2167
1127,1,1,522,3228,2706
1128,0,0,15,0,-15
1129,1,1,224,1436,1212
1130,1,1,243,1460,1217
1131,0,0,68,0,-68
1132,1,1,412,1783,1371
1133,1,0,0,0,0
1134,1,1,486,1222,736
1135,1,0,23,0,-23
1136,1,1,983,1413,430
1137,0,0,70,0,-70
1138,0,0,2,0,-2
1139,0,0,43,0,-43
1140,1,0,36,0,-36
1141,1,0,3,0,-3
1142,1,1,193,1285,1092
1143,0,0,5,0,-5
1144,1,0,64,0,-64
1145,0,0,44,0,-44
1146,0,0,5,0,-5
1147,1,1,354,1449,1095
1148,0,0,27,0,-27
1149,0,0,73,0,-73
1150,0,0,3,0,-3
1151,1,0,21,0,-21
1152,0,0,44,0,-44
1153,1,0,88,0,-88
1154,1,1,1149,2179,1030
1155,1,0,37,0,-37
1156,0,0,3,0,-3
1157,0,0,0,0,0
1158,1,1,576,1556,980
1159,0,0,47,0,-47
1160,0,0,16,0,-16
1161,0,0,17,0,-17
1162,1,0,3,0,-3
1163,0,0,2,0,-2
1164,0,0,17,0,-17
1165,0,0,2,0,-2
1166,0,0,54,0,-54
1167,1,1,127,1564,1437
1168,0,0,7,0,-7
1169,1,0,15,0,-15
1170,1,0,16,0,-16
1171,1,1,240,2044,1804
1172,0,0,91,0,-91
1173,1,0,48,0,-48
1174,0,0,3,0,-3
1175,1,0,45,0,-45
1176,0,0,11,0,-11
1177,0,0,98,0,-98
1178,1,0,6,0,-6
1179,0,0,3,0,-3
1180,1,1,66,1344,1278
1181,1,1,435,1443,1008
1182,0,0,15,0,-15
1183,1,0,1,0,-1
1184,0,0,100,0,-100
1185,1,1,81,1621,1540
1186,1,1,292,1302,1010
1187,1,1,133,1456,1323
1188,0,0,25,0,-25
1189,0,0,4,0,-4
1190,0,0,5,0,-5
1191,1,1,1332,1207,-125
1192,0,0,80,0,-80
1193,0,0,43,0,-43
1194,1,1,503,1317,814
1195,1,1,150,1601,1451
1196,1,0,1,0,-1
1197,1,1,446,1392,946
1198,0,0,46,0,-46
1199,1,1,56,1234,1178
1200,0,0,21,0,-21
1201,1,1,593,1907,1314
1202,1,1,374,1625,1251
1203,1,0,27,0,-27
1204,1,1,118,1222,1104
1205,0,0,49,0,-49
1206,0,0,257,0,-257
1207,0,0,5,0,-5
1208,1,1,849,1842,993
1209,1,0,39,0,-39
1210,0,0,315,0,-315
1211,0,0,12,0,-12
1212,1,1,125,1253,1128
1213,1,1,2669,1334,-1335
1214,1,1,253,1907,1654
1215,1,0,12,0,-12
1216,1,0,8,0,-8
1217,1,1,618,1355,737
1218,1,0,101,0,-101
1219,1,1,80,1225,1145
1220,1,0,7,0,-7
1221,0,0,26,0,-26
1222,0,0,13,0,-13
1223,1,0,55,0,-55
1224,1,1,109,2357,2248
1225,1,0,7,0,-7
1226,0,0,31,0,-31
1227,1,0,73,0,-73
1228,1,0,8,0,-8
1229,1,1,761,2071,1310
1230,1,0,32,0,-32
1231,0,0,4,0,-4
1232,1,0,53,0,-53
1233,1,1,783,1382,599
1234,1,1,183,1304,1121
1235,0,0,49,0,-49
1236,0,0,15,0,-15
1237,1,1,745,1274,529
1238,1,0,22,0,-22
1239,1,1,625,1716,1091
1240,1,0,62,0,-62
1241,1,0,18,0,-18
1242,1,1,752,1346,594
1243,1,1,276,1210,934
1244,1,0,19,0,-19
1245,0,0,19,0,-19
1246,0,0,28,0,-28
1247,0,0,53,0,-53
1248,0,0,85,0,-85
1249,1,1,867,1287,420
1250,1,0,19,0,-19
1251,1,1,393,1358,965
1252,1,0,5,0,-5
1253,1,1,23,2364,2341
1254,0,0,2,0,-2
1255,0,0,88,0,-88
1256,0,0,17,0,-17
1257,0,0,3,0,-3
1258,0,0,1,0,-1
1259,0,0,140,0,-140
1260,0,0,49,0,-49
1261,0,0,181,0,-181
1262,1,1,167,1208,1041
1263,0,0,5,0,-5
1264,0,0,37,0,-37
1265,1,0,31,0,-31
1266,0,0,16,0,-16
1267,0,0,3,0,-3
1268,0,0,54,0,-54
1269,1,1,326,1464,1138
1270,1,0,47,0,-47
1271,1,1,446,1203,757
1272,1,1,146,1633,1487
1273,1,0,16,0,-16
1274,1,1,906,1488,582
1275,1,1,262,1268,1006
1276,1,0,85,0,-85
1277,1,0,6,0,-6
1278,1,1,390,1923,1533
1279,1,1,443,1376,933
1280,0,0,127,0,-127
1281,0,0,86,0,-86
1282,0,0,8,0,-8
1283,1,0,2,0,-2
1284,1,1,26,1273,1247
1285,0,0,13,0,-13
1286,1,0,0,0,0
1287,1,1,193,1741,1548
1288,1,0,37,0,-37
1289,0,0,51,0,-51
1290,1,0,6,0,-6
1291,1,1,2180,1928,-252
1292,0,0,25,0,-25
1293,1,1,343,1813,1470
1294,1,0,13,0,-13
1295,0,0,41,0,-41
1296,0,0,53,0,-53
1297,1,0,170,0,-170
1298,1,0,35,0,-35
1299,0,0,63,0,-63
1300,1,0,14,0,-14
1301,1,0,136,0,-136
1302,1,0,46,0,-46
1303,1,0,17,0,-17
1304,0,0,13,0,-13
1305,1,1,188,1210,1022
1306,1,0,89,0,-89
1307,1,0,42,0,-42
1308,1,1,465,2021,1556
1309,1,1,77,2962,2885
1310,1,0,180,0,-180
1311,0,0,43,0,-43
1312,1,0,216,0,-216
1313,1,1,96,1235,1139
1314,1,1,911,1425,514
1315,1,1,191,1680,1489
1316,1,0,1,0,-1
1317,1,1,206,1933,1727
1318,0,0,47,0,-47
1319,0,0,46,0,-46
1320,1,1,624,2972,2348
1321,1,1,351,1343,992
1322,1,0,53,0,-53
1323,0,0,123,0,-123
1324,0,0,15,0,-15
1325,1,1,158,1431,1273
1326,1,1,925,2116,1191
1327,0,0,40,0,-40
1328,0,0,14,0,-14
1329,0,0,85,0,-85
1330,0,0,60,0,-60
1331,1,1,329,1432,1103
1332,1,0,1,0,-1
1333,0,0,40,0,-40
1334,1,0,9,0,-9
1335,0,0,1,0,-1
1336,1,1,442,2338,1896
1337,1,1,424,2119,1695
1338,1,1,333,1572,1239
1339,0,0,64,0,-64
1340,1,1,63,1401,1338
1341,0,0,7,0,-7
1342,1,1,1009,1364,355
1343,0,0,53,0,-53
1344,0,0,54,0,-54
1345,1,0,3,0,-3
1346,0,0,103,0,-103
1347,0,0,41,0,-41
1348,1,1,442,1213,771
1349,1,0,17,0,-17
1350,1,0,15,0,-15
1351,1,1,778,1311,533
1352,1,1,826,1374,548
1353,1,0,5,0,-5
1354,1,0,173,0,-173
1355,1,1,1237,1323,86
1356,1,0,53,0,-53
1357,0,0,70,0,-70
1358,0,0,29,0,-29
1359,1,1,133,2897,2764
1360,1,0,5,0,-5
1361,1,0,8,0,-8
1362,1,1,95,1227,1132
1363,0,0,49,0,-49
1364,0,0,12,0,-12
1365,1,0,119,0,-119
1366,1,0,22,0,-22
1367,1,1,161,1256,1095
1368,1,1,217,2043,1826
1369,1,0,53,0,-53
1370,0,0,25,0,-25
1371,1,1,245,1507,1262
1372,1,0,3,0,-3
1373,1,1,702,1272,570
1374,1,0,24,0,-24
1375,1,1,120,1221,1101
1376,0,0,86,0,-86
1377,1,0,253,0,-253
1378,0,0,0,0,0
1379,0,0,15,0,-15
1380,1,1,321,1313,992
1381,0,0,26,0,-26
1382,1,1,335,1847,1512
1383,1,1,1826,1201,-625
1384,1,0,1,0,-1
1385,1,0,71,0,-71
1386,0,0,78,0,-78
1387,1,0,3,0,-3
1388,1,0,25,0,-25
1389,1,0,145,0,-145
1390,0,0,4,0,-4
1391,0,0,8,0,-8
1392,0,0,9,0,-9
1393,1,0,78,0,-78
1394,1,0,3,0,-3
1395,1,1,548,1297,749
1396,1,0,48,0,-48
1397,1,1,660,1366,706
1398,0,0,6,0,-6
1399,1,1,1168,1373,205
1400,1,0,51,0,-51
1401,0,0,0,0,0
1402,1,1,89,1636,1547
1403,0,0,47,0,-47
1404,1,1,88,1297,1209
1405,1,0,61,0,-61
1406,1,1,255,1254,999
1407,0,0,56,0,-56
1408,0,0,14,0,-14
1409,1,1,446,1675,1229
1410,1,0,1,0,-1
1411,1,1,1297,1370,73
1412,1,1,813,1426,613
1413,1,0,30,0,-30
1414,1,1,238,1313,1075
1415,0,0,36,0,-36
1416,0,0,23,0,-23
1417,1,0,16,0,-16
1418,0,0,2,0,-2
1419,1,1,392,1314,922
1420,0,0,28,0,-28
1421,1,1,471,1256,785
1422,1,1,270,1280,1010
1423,0,0,32,0,-32
1424,1,1,377,1411,1034
1425,1,1,263,1297,1034
1426,1,0,8,0,-8
1427,0,0,7,0,-7
1428,1,1,1445,1249,-196
1429,1,0,13,0,-13
1430,0,0,0,0,0
1431,1,0,39,0,-39
1432,1,0,43,0,-43
1433,1,0,8,0,-8
1434,1,0,13,0,-13
1435,1,1,1233,1276,43
1436,0,0,48,0,-48
1437,1,0,47,0,-47
1438,0,0,3,0,-3
1439,1,1,411,1270,859
1440,0,0,71,0,-71
1441,1,0,68,0,-68
1442,1,1,203,2098,1895
1443,0,0,4,0,-4
1444,1,0,13,0,-13
1445,1,1,84,1345,1261
1446,1,1,122,1409,1287
1447,1,0,31,0,-31
1448,0,0,2,0,-2
1449,1,0,131,0,-131
1450,0,0,14,0,-14
1451,0,0,25,0,-25
1452,0,0,75,0,-75
1453,0,0,26,0,-26
1454,1,1,374,1646,1272
1455,0,0,85,0,-85
1456,1,1,214,1428,1214
1457,1,0,62,0,-62
1458,1,0,31,0,-31
1459,1,1,472,1558,1086
1460,1,0,21,0,-21
1461,1,0,41,0,-41
1462,1,0,2,0,-2
1463,0,0,11,0,-11
1464,1,1,217,1214,997
1465,1,1,505,1349,844
1466,1,1,376,1239,863
1467,1,1,175,3795,3620
1468,0,0,115,0,-115
1469,1,0,0,0,0
1470,0,0,14,0,-14
1471,1,0,7,0,-7
1472,1,1,646,1361,715
1473,1,1,1169,1219,50
1474,1,1,2211,1247,-964
1475,0,0,25,0,-25
1476,1,1,1391,1323,-68
1477,0,0,31,0,-31
1478,1,1,644,1291,647
1479,1,0,73,0,-73
1480,0,0,229,0,-229
1481,0,0,19,0,-19
1482,1,0,1,0,-1
1483,1,1,91,1259,1168
1484,1,1,55,1385,1330
1485,0,0,20,0,-20
1486,0,0,78,0,-78
1487,0,0,23,0,-23
1488,1,1,594,1557,963
1489,0,0,4,0,-4
1490,1,1,91,1604,1513
1491,1,0,170,0,-170
1492,1,1,2047,1285,-762
1493,1,1,175,1236,1061
1494,0,0,50,0,-50
1495,0,0,25,0,-25
1496,1,0,68,0,-68
1497,1,0,30,0,-30
1498,0,0,75,0,-75
1499,1,1,125,1654,1529
1500,0,0,3,0,-3
1501,0,0,5,0,-5
1502,0,0,56,0,-56
1503,1,0,11,0,-11
1504,0,0,29,0,-29
1505,1,1,1104,1402,298
1506,0,0,14,0,-14
1507,1,1,172,1506,1334
1508,0,0,2,0,-2
1509,0,0,41,0,-41
1510,0,0,42,0,-42
1511,0,0,71,0,-71
1512,0,0,4,0,-4
1513,1,0,22,0,-22
1514,1,1,85,1533,1448
1515,1,1,903,2711,1808
1516,1,1,461,1522,1061
1517,0,0,56,0,-56
1518,1,0,99,0,-99
1519,0,0,63,0,-63
1520,1,0,0,0,0
1521,0,0,35,0,-35
1522,1,0,4,0,-4
1523,1,1,302,1943,1641
1524,1,0,122,0,-122
1525,0,0,49,0,-49
1526,0,0,28,0,-28
1527,1,1,931,1723,792
1528,1,0,85,0,-85
1529,1,0,75,0,-75
1530,1,1,307,1483,1176
1531,1,0,25,0,-25
1532,1,0,15,0,-15
1533,1,0,8,0,-8
1534,1,0,32,0,-32
1535,1,1,182,1472,1290
1536,1,1,323,1381,1058
1537,1,0,18,0,-18
1538,0,0,80,0,-80
1539,1,1,409,1436,1027
1540,0,0,69,0,-69
1541,1,0,20,0,-20
1542,1,1,106,2098,1992
1543,0,0,80,0,-80
1544,0,0,51,0,-51
1545,0,0,67,0,-67
1546,1,0,84,0,-84
1547,0,0,15,0,-15
1548,1,0,57,0,-57
1549,0,0,4,0,-4
1550,1,0,7,0,-7
1551,1,0,99,0,-99
1552,0,0,10,0,-10
1553,0,0,1,0,-1
1554,1,0,54,0,-54
1555,1,1,238,1435,1197
1556,1,1,397,1456,1059
1557,0,0,99,0,-99
1558,1,0,54,0,-54
1559,1,0,4,0,-4
1560,1,0,73,0,-73
1561,1,1,242,1610,1368
1562,1,0,86,0,-86
1563,0,0,8,0,-8
1564,0,0,8,0,-8
1565,1,1,526,1755,1229
1566,0,0,76,0,-76
1567,1,1,57,1901,1844
1568,1,1,1005,1649,644
1569,1,1,2626,1945,-681
1570,0,0,28,0,-28
1571,1,0,32,0,-32
1572,1,1,361,1203,842
1573,1,1,358,2532,2174
1574,1,0,68,0,-68
1575,0,0,91,0,-91
1576,1,1,400,1655,1255
1577,1,1,467,1207,740
1578,0,0,68,0,-68
1579,1,0,56,0,-56
1580,0,0,2,0,-2
1581,1,1,1454,1264,-190
1582,1,0,43,0,-43
1583,1,1,336,1995,1659
1584,1,0,18,0,-18
1585,0,0,36,0,-36
1586,0,0,98,0,-98
1587,1,0,16,0,-16
1588,1,0,73,0,-73
1589,0,0,50,0,-50
1590,1,0,1,0,-1
1591,1,0,2,0,-2
1592,0,0,5,0,-5
1593,1,0,12,0,-12
1594,1,0,17,0,-17
1595,1,1,160,1240,1080
1596,1,0,112,0,-112
1597,0,0,51,0,-51
1598,0,0,1,0,-1
1599,1,1,669,2307,1638
1600,0,0,60,0,-60
1601,1,0,7,0,-7
1602,1,0,23,0,-23
1603,0,0,47,0,-47
1604,0,0,56,0,-56
1605,1,0,47,0,-47
1606,0,0,106,0,-106
1607,1,0,83,0,-83
1608,0,0,100,0,-100
1609,1,1,553,1259,706
1610,1,0,38,0,-38
1611,0,0,58,0,-58
1612,1,0,151,0,-151
1613,0,0,22,0,-22
1614,0,0,29,0,-29
1615,1,0,18,0,-18
1616,0,0,326,0,-326
1617,0,0,0,0,0
1618,0,0,75,0,-75
1619,1,0,8,0,-8
1620,1,1,1235,1539,304
1621,1,1,187,1569,1382
1622,1,1,579,1209,630
1623,1,1,664,1930,1266
1624,1,0,6,0,-6
1625,1,1,222,1213,991
1626,0,0,49,0,-49
1627,0,0,50,0,-50
1628,1,0,65,0,-65
1629,0,0,14,0,-14
1630,0,0,65,0,-65
1631,0,0,122,0,-122
1632,0,0,33,0,-33
1633,1,0,75,0,-75
1634,0,0,39,0,-39
1635,1,1,32,1501,1469
1636,0,0,66,0,-66
1637,1,0,60,0,-60
1638,0,0,79,0,-79
1639,0,0,120,0,-120
1640,0,0,60,0,-60
1641,1,0,15,0,-15
1642,0,0,276,0,-276
1643,1,0,125,0,-125
1644,0,0,42,0,-42
1645,0,0,53,0,-53
1646,1,1,955,1311,356
1647,0,0,28,0,-28
1648,1,0,2,0,-2
1649,1,1,313,1402,1089
1650,1,1,92,1553,1461
1651,0,0,142,0,-142
1652,0,0,62,0,-62
1653,1,1,491,1709,1218
1654,1,1,485,1232,747
1655,1,1,91,1590,1499
1656,1,1,40,1495,1455
1657,0,0,24,0,-24
1658,1,0,53,0,-53
1659,1,0,11,0,-11
1660,1,1,1894,1248,-646
1661,1,1,1067,1415,348
1662,0,0,157,0,-157
1663,0,0,30,0,-30
1664,1,1,597,2648,2051
1665,0,0,161,0,-161
1666,1,0,105,0,-105
1667,1,1,230,2032,1802
1668,1,0,159,0,-159
1669,0,0,9,0,-9
1670,0,0,0,0,0
1671,1,0,68,0,-68
1672,1,1,252,2531,2279
1673,0,0,14,0,-14
1674,0,0,158,0,-158
1675,1,1,523,1833,1310
1676,0,0,91,0,-91
1677,1,1,116,1388,1272
1678,0,0,22,0,-22
1679,0,0,24,0,-24
1680,1,0,79,0,-79
1681,0,0,13,0,-13
1682,0,0,21,0,-21
1683,1,1,519,1360,841
1684,1,0,17,0,-17
1685,1,0,265,0,-265
1686,1,1,268,1511,1243
1687,0,0,63,0,-63
1688,1,0,123,0,-123
1689,1,0,402,0,-402
1690,0,0,39,0,-39
1691,1,0,18,0,-18
1692,1,1,310,1704,1394
1693,0,0,12,0,-12
1694,0,0,7,0,-7
1695,0,0,24,0,-24
1696,1,1,241,2941,2700
1697,1,1,184,1358,1174
1698,1,1,1131,1236,105
1699,0,0,30,0,-30
1700,1,0,11,0,-11
1701,0,0,465,0,-465
1702,1,0,4,0,-4
1703,0,0,22,0,-22
1704,1,0,81,0,-81
1705,0,0,122,0,-122
1706,0,0,58,0,-58
1707,1,1,605,1501,896
1708,0,0,156,0,-156
1709,1,0,82,0,-82
1710,1,1,478,1240,762
1711,0,0,1,0,-1
1712,1,0,25,0,-25
1713,1,1,128,1438,1310
1714,0,0,13,0,-13
1715,1,1,376,1228,852
1716,1,0,77,0,-77
1717,1,1,276,1950,1674
1718,1,0,109,0,-109
1719,1,1,795,1495,700
1720,1,0,41,0,-41
1721,1,0,75,0,-75
1722,0,0,5,0,-5
1723,1,1,131,1395,1264
1724,1,1,438,1322,884
1725,0,0,0,0,0
1726,0,0,36,0,-36
1727,0,0,85,0,-85
1728,0,0,67,0,-67
1729,1,1,55,1221,1166
1730,1,1,221,2692,2471
1731,0,0,83,0,-83
1732,0,0,45,0,-45
1733,1,0,64,0,-64
1734,0,0,29,0,-29
1735,1,0,19,0,-19
1736,1,1,160,1430,1270
1737,0,0,127,0,-127
1738,1,1,280,2139,1859
1739,1,1,39,1322,1283
1740,0,0,31,0,-31
1741,0,0,25,0,-25
1742,1,1,460,1353,893
1743,0,0,10,0,-10
1744,1,0,39,0,-39
1745,1,1,202,1227,1025
1746,1,1,420,1266,846
1747,1,1,1293,1279,-14
1748,0,0,37,0,-37
1749,0,0,49,0,-49
1750,0,0,47,0,-47
1751,0,0,1,0,-1
1752,0,0,56,0,-56
1753,0,0,176,0,-176
1754,0,0,52,0,-52
1755,1,0,36,0,-36
1756,0,0,56,0,-56
1757,0,0,41,0,-41
1758,1,1,586,1214,628
1759,1,0,258,0,-258
1760,0,0,76,0,-76
1761,0,0,28,0,-28
1762,1,1,1194,1237,43
1763,1,1,118,1404,1286
1764,0,0,41,0,-41
1765,0,0,31,0,-31
1766,1,0,40,0,-40
1767,1,1,466,1473,1007
1768,1,1,529,2285,1756
1769,1,0,83,0,-83
1770,0,0,12,0,-12
1771,1,0,17,0,-17
1772,0,0,14,0,-14
1773,0,0,16,0,-16
1774,1,0,17,0,-17
1775,0,0,33,0,-33
1776,0,0,103,0,-103
1777,0,0,36,0,-36
1778,0,0,19,0,-19
1779,1,1,159,1360,1201
1780,1,1,375,1215,840
1781,1,1,808,1339,531
1782,0,0,63,0,-63
1783,1,0,53,0,-53
1784,1,1,1827,1208,-619
1785,1,1,538,1245,707
1786,0,0,35,0,-35
1787,0,0,132,0,-132
1788,0,0,10,0,-10
1789,0,0,14,0,-14
1790,1,0,66,0,-66
1791,0,0,119,0,-119
1792,1,1,187,1228,1041
1793,1,0,154,0,-154
1794,1,0,31,0,-31
1795,1,0,77,0,-77
1796,1,1,695,1410,715
1797,1,1,243,2082,1839
1798,1,1,336,2136,1800
1799,0,0,39,0,-39
1800,1,0,0,0,0
1801,0,0,21,0,-21
1802,1,1,492,1336,844
1803,1,0,44,0,-44
1804,1,1,631,1833,1202
1805,1,0,125,0,-125
1806,0,0,16,0,-16
1807,0,0,7,0,-7
1808,1,0,73,0,-73
1809,0,0,12,0,-12
1810,0,0,60,0,-60
1811,0,0,70,0,-70
1812,1,1,1660,1346,-314
1813,0,0,178,0,-178
1814,0,0,122,0,-122
1815,1,1,197,1646,1449
1816,1,0,26,0,-26
1817,0,0,135,0,-135
1818,0,0,168,0,-168
1819,0,0,132,0,-132
1820,0,0,67,0,-67
1821,1,1,702,1307,605
1822,0,0,1,0,-1
1823,1,0,66,0,-66
1824,0,0,33,0,-33
1825,1,1,267,1543,1276
1826,0,0,17,0,-17
1827,0,0,18,0,-18
1828,1,0,62,0,-62
1829,0,0,106,0,-106
1830,0,0,80,0,-80
1831,0,0,63,0,-63
1832,1,0,55,0,-55
1833,1,0,164,0,-164
1834,0,0,30,0,-30
1835,1,0,18,0,-18
1836,0,0,19,0,-19
1837,1,0,32,0,-32
1838,0,0,14,0,-14
1839,0,0,11,0,-11
1840,0,0,27,0,-27
1841,1,0,71,0,-71
1842,1,1,325,1299,974
1843,1,1,112,1375,1263
1844,1,0,13,0,-13
1845,0,0,20,0,-20
1846,0,0,29,0,-29
1847,1,0,58,0,-58
1848,1,1,1011,1364,353
1849,0,0,42,0,-42
1850,0,0,43,0,-43
1851,1,1,770,2589,1819
1852,1,1,325,1502,1177
1853,0,0,34,0,-34
1854,1,0,37,0,-37
1855,0,0,83,0,-83
1856,1,1,255,1973,1718
1857,1,1,504,1353,849
1858,1,1,266,1436,1170
1859,1,0,56,0,-56
1860,1,0,19,0,-19
1861,0,0,15,0,-15
1862,1,0,64,0,-64
1863,1,0,31,0,-31
1864,1,1,921,2166,1245
1865,0,0,9,0,-9
1866,1,1,491,1256,765
1867,1,0,23,0,-23
1868,0,0,42,0,-42
1869,1,0,51,0,-51
1870,1,0,171,0,-171
1871,1,0,157,0,-157
1872,0,0,123,0,-123
1873,0,0,6,0,-6
1874,0,0,17,0,-17
1875,0,0,13,0,-13
1876,0,0,13,0,-13
1877,0,0,21,0,-21
1878,1,1,459,1336,877
1879,0,0,65,0,-65
1880,0,0,0,0,0
1881,1,0,52,0,-52
1882,1,1,305,1815,1510
1883,0,0,31,0,-31
1884,1,1,711,1486,775
1885,1,0,0,0,0
1886,0,0,2,0,-2
1887,1,0,6,0,-6
1888,1,0,26,0,-26
1889,1,0,82,0,-82
1890,1,1,647,1479,832
1891,1,0,31,0,-31
1892,0,0,1,0,-1
1893,1,0,44,0,-44
1894,1,1,116,1276,1160
1895,1,1,676,1730,1054
1896,1,0,11,0,-11
1897,1,1,253,1223,970
1898,1,0,30,0,-30
1899,1,0,17,0,-17
1900,1,1,257,1384,1127
1901,1,0,89,0,-89
1902,1,1,212,1937,1725
1903,1,0,43,0,-43
1904,1,1,531,2105,1574
1905,1,0,137,0,-137
1906,1,1,156,1201,1045
1907,0,0,48,0,-48
1908,0,0,70,0,-70
1909,1,0,52,0,-52
1910,1,0,22,0,-22
1911,1,0,0,0,0
1912,0,0,39,0,-39
1913,0,0,37,0,-37
1914,1,1,248,2687,2439
1915,1,0,134,0,-134
1916,1,0,57,0,-57
1917,0,0,0,0,0
1918,0,0,21,0,-21
1919,0,0,29,0,-29
1920,1,0,71,0,-71
1921,0,0,7,0,-7
1922,0,0,104,0,-104
1923,1,0,38,0,-38
1924,0,0,172,0,-172
1925,1,0,10,0,-10
1926,0,0,32,0,-32
1927,1,0,61,0,-61
1928,1,0,52,0,-52
1929,1,0,2,0,-2
1930,0,0,15,0,-15
1931,0,0,3,0,-3
1932,0,0,5,0,-5
1933,0,0,33,0,-33
1934,0,0,68,0,-68
1935,1,1,276,1346,1070
1936,0,0,15,0,-15
1937,1,0,44,0,-44
1938,1,0,15,0,-15
1939,0,0,3,0,-3
1940,1,0,21,0,-21
1941,1,0,30,0,-30
1942,1,1,319,1318,999
1943,1,0,25,0,-25
1944,0,0,76,0,-76
1945,1,1,288,1263,975
1946,0,0,8,0,-8
1947,0,0,35,0,-35
1948,1,0,42,0,-42
1949,1,1,573,1434,861
1950,1,1,280,1964,1684
1951,0,0,46,0,-46
1952,1,1,557,1711,1154
1953,0,0,25,0,-25
1954,1,0,22,0,-22
1955,1,1,507,1252,745
1956,1,0,19,0,-19
1957,0,0,11,0,-11
1958,0,0,0,0,0
1959,1,0,83,0,-83
1960,1,0,10,0,-10
1961,1,0,60,0,-60
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,14,0,-14
1965,1,0,22,0,-22
1966,1,1,176,1657,1481
1967,1,1,63,2215,2152
1968,0,0,12,0,-12
1969,1,0,5,0,-5
1970,1,0,58,0,-58
1971,0,0,142,0,-142
1972,1,1,1618,1201,-417
1973,1,0,12,0,-12
1974,1,0,12,0,-12
1975,1,1,1847,1438,-409
1976,1,1,405,1298,893
1977,0,0,22,0,-22
1978,0,0,85,0,-85
1979,0,0,15,0,-15
1980,1,0,3,0,-3
1981,1,0,96,0,-96
1982,0,0,0,0,0
1983,1,0,11,0,-11
1984,0,0,39,0,-39
1985,0,0,64,0,-64
1986,0,0,62,0,-62
1987,1,1,1195,1584,389
1988,0,0,45,0,-45
1989,1,1,254,1263,1009
1990,0,0,13,0,-13
1991,1,1,101,1247,1146
1992,0,0,35,0,-35
1993,0,0,5,0,-5
1994,1,0,19,0,-19
1995,1,1,157,1237,1080
1996,1,1,59,1608,1549
1997,1,0,39,0,-39
1998,1,0,22,0,-22
1999,1,1,138,1204,1066
2000,1,0,36,0,-36
2001,0,0,52,0,-52
2002,1,0,23,0,-23
2003,1,0,94,0,-94
2004,1,0,47,0,-47
2005,1,1,132,1852,1720
2006,1,1,2101,1622,-479
2007,1,1,185,1783,1598
2008,1,0,50,0,-50
2009,1,0,15,0,-15
2010,0,0,10,0,-10
2011,1,0,13,0,-13
2012,0,0,27,0,-27
2013,1,1,113,1474,1361
2014,1,1,1221,1698,477
2015,1,1,915,1638,723
2016,0,0,1,0,-1
2017,0,0,16,0,-16
2018,1,0,3,0,-3
2019,1,0,43,0,-43
2020,0,0,37,0,-37
2021,1,1,256,1206,950
2022,1,0,39,0,-39
2023,1,1,809,2564,1755
2024,1,0,76,0,-76
2025,0,0,35,0,-35
2026,1,0,15,0,-15
2027,0,0,9,0,-9
2028,1,0,20,0,-20
2029,0,0,6,0,-6
2030,0,0,52,0,-52
2031,0,0,21,0,-21
2032,1,1,219,2513,2294
